timestamp_utc,met_hours,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,distance_earth_km,speed_kms,speed_ms,data_type,source
2026-04-06 14:25:51.319,122.43092194444445,-124447.86133590055,-333593.0059075703,-182646.0413007512,-0.10693801493454,-0.44257536375713,-0.24594791300771,400163.8916548612,0.5174930603938027,517.4930603938027,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:29:51.319,122.49758861111111,-124473.62634721294,-333699.1350216148,-182705.02939840851,-0.10777263463399,-0.44183305754109,-0.24561930695028,400287.3019940463,0.5168754544944029,516.8754544944029,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:33:51.319,122.56425527777779,-124499.59327728645,-333805.0853548859,-182763.93844077195,-0.10862071399026,-0.44108549736896,-0.24528910939329,400410.59043109074,0.5162573221601124,516.2573221601125,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:37:51.319,122.63092194444445,-124525.76538745018,-333910.85562705,-182822.7680389572,-0.10948251251366,-0.44033252076118,-0.24495726227425,400533.7567101495,0.5156386425851872,515.6386425851872,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:41:51.319,122.69758861111112,-124552.14600210184,-334016.4445180887,-182881.51778988243,-0.11035829629736,-0.43957395945094,-0.24462370532716,400656.8005554947,0.5150193943892033,515.0193943892033,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:45:51.319,122.76425527777778,-124578.73851031114,-334121.85066688067,-182940.18727572795,-0.11124833821531,-0.43880963913904,-0.24428837598502,400779.72167059575,0.5143995555970097,514.3995555970097,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:49:51.319,122.83092194444446,-124605.54636747164,-334227.07266972325,-182998.7760633716,-0.11215291812678,-0.43803937923655,-0.24395120927735,400902.5197371558,0.5137791036176693,513.7791036176693,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:53:51.319,122.89758861111112,-124632.5730970023,-334332.1090787909,-183057.28370379924,-0.11307232308749,-0.43726299259502,-0.24361213772241,401025.1944140984,0.5131580152226375,513.1580152226375,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:57:51.319,122.96425527777778,-124659.82229210096,-334436.958400527,-183115.7097314884,-0.11400684756783,-0.43648028522319,-0.24327109121412,401147.7453365041,0.5125362665230436,512.5362665230437,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:01:51.319,123.03092194444444,-124687.29761755042,-334541.6190939665,-183174.0536637644,-0.11495679367807,-0.43569105598969,-0.24292799690291,401270.1721144942,0.5119138329459498,511.9138329459498,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
